Library, Design Unit, compile Time, Peak Mem Usage
work, PSRAM_RDFIFO, 0h:00m:00s,    160 MB
work, \~fifo.PSRAM_RDFIFO , 0h:00m:00s,    165 MB
work, work_/home/athieka/tang/src/PSRAM_RDFIFO/temp/FIFO/fifo_define.v_unit, 0h:00m:00s,      0 MB
